% Model:              heat_case3.mph
% Version:            COMSOL 6.0.0.354
% Date:               Mar 29 2023, 20:11
% Dimension:          2
% Nodes:              13312
% Expressions:        31
% Description:        因变量 u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.1            u (K) @ t=0.2            u (K) @ t=0.3            u (K) @ t=0.4            u (K) @ t=0.5            u (K) @ t=0.6            u (K) @ t=0.7            u (K) @ t=0.8            u (K) @ t=0.9            u (K) @ t=1              u (K) @ t=1.1            u (K) @ t=1.2            u (K) @ t=1.3            u (K) @ t=1.4            u (K) @ t=1.5            u (K) @ t=1.6            u (K) @ t=1.7            u (K) @ t=1.8            u (K) @ t=1.9            u (K) @ t=2              u (K) @ t=2.1            u (K) @ t=2.2            u (K) @ t=2.3            u (K) @ t=2.4            u (K) @ t=2.5            u (K) @ t=2.6            u (K) @ t=2.7            u (K) @ t=2.8            u (K) @ t=2.9            u (K) @ t=3
-7.843955186670439        -11.83728611734195       1.6604589222128194E-5    0.0319060540354347       0.045547165133413996     0.05372102867274316      0.05953073694844842      0.063932240967291        0.06759314608079854      0.0709346194621696       0.07435259411664971      0.07797692151891276      0.08199558450371988      0.0865653215129156       0.09166045123686219      0.09718192643583548      0.10303245927832369      0.10919202881924464      0.11550167306501827      0.12199667444744307      0.12850680544546683      0.1350962816731022       0.14165244617430947      0.14815935367689675      0.15457643792632528      0.16088036258106556      0.16702753408727378      0.1729867297717045       0.17879562599746665      0.1844067779682316       0.18980583141468535      0.19504404964122998      0.20009162886846302
-8                        -12                      4.28982174535915E-5      0.047566324216843155     0.05860012465867989      0.06498311458829943      0.06947451227644495      0.07283672469106729      0.07560089789692716      0.07809302956982556      0.08061926592799827      0.08328268331910095      0.08623074617141552      0.08959138041643737      0.09334654886439953      0.09742266870467158      0.10175022194669944      0.10631313964255193      0.1109939946537854       0.11581838077894649      0.12065850598455166      0.12556252453586578      0.13044506256377303      0.13529403639737558      0.14007868373533933      0.1447810561384142       0.14936813990702846      0.1538161678072496       0.15815314984877749      0.16234312796216785      0.16637504446164242      0.1702875364959168       0.1740578458422471
-7.7611940298506745       -12                      2.51493559684323E-5      0.037389788787422745     0.04990176972276445      0.05740702327546824      0.0627468839726925       0.06679959656119358      0.07018040567218874      0.07327781300121182      0.0764561830980525       0.07983212997661679      0.08357638153866585      0.08782909872446838      0.09256609338781324      0.09769485946202229      0.1031232438972471       0.10883357858631983      0.1146781143850482       0.12068997064128846      0.12671234360448774      0.13280442298566683      0.13886300730560794      0.14487348960407895      0.15079872401863004      0.15661753531014944      0.16228997157433983      0.16778751412146722      0.1731451185474465       0.1783193212848081       0.18329712084778013      0.18812569906876073      0.19277788443513041
-8                        -11.759999999999998      2.822337064714842E-5     0.03734822711098025      0.04986314116666129      0.05737198866194806      0.06271244372686956      0.06675829507175038      0.0701201071194339       0.0731838672049994       0.07631327879982536      0.0796296450649533       0.08330723465347765      0.08749236452529334      0.09216160026042686      0.09722458487597903      0.10259319150868172      0.10824848114516065      0.11404471064160686      0.1200140355664908       0.12599954528756785      0.1320604089999031       0.13809243940688207      0.1440808900173704       0.14998823438155234      0.15579276077655882      0.161454164101755        0.16694351503788915      0.1722953679507321       0.17746584643023533      0.18244157756076804      0.1872698091341494       0.19192289522557934
-7.522388059701422        -12                      2.2588515923097722E-5    0.031567872805603955     0.0436873448883455       0.051514506360002064     0.05725462529303712      0.061768977516806635     0.06568587771087388      0.06942545167241725      0.07337818648488528      0.07764785424085545      0.08240073361746475      0.08774917055530625      0.09365968202353003      0.1000179197613067       0.10669644479294843      0.1136810089237003       0.1207894717830681       0.12806526975173937      0.13532644170665042      0.14264197644244064      0.1498966692312246       0.15707421419355627      0.16413326776092504      0.17105178377264277      0.17778502810162441      0.1843018124374215       0.1906445213052581       0.1967646438360696       0.20264878873627193      0.20835112936044267      0.21384236647061225
-7.636799687318899        -11.787487729607165      6.195470083337252E-6     0.022157831230442775     0.03617290671371237      0.04518572449260842      0.05175005080865259      0.056868734052103895     0.0612575869046919       0.06539268761693807      0.06971965223465738      0.07436864400335798      0.07953864472485837      0.08537548542738835      0.09184366362878628      0.09881904581283087      0.10616827252783136      0.11387224753633572      0.121731251551323        0.12979171907400963      0.13784893458422162      0.14598036530582034      0.1540541636257943       0.1620516680593028       0.16992549932633222      0.1776496079966256       0.1851728671311234       0.19245924726702338      0.19955549187287105      0.20640608278542175      0.2129951044775453       0.2193837166752173       0.22553785665638723
-7.821782216182622        -11.638942857102576      7.521304300719231E-6     0.02379133291046355      0.03771009747583635      0.04657394281150127      0.05300416756201413      0.05798443617249658      0.06221278023894115      0.06615172718670077      0.07023771619728557      0.07460913206776208      0.07946942843989856      0.08497665281287381      0.09109803730857835      0.09771713596592342      0.10471316254994467      0.11206472698803749      0.11958202258507933      0.12730809451731726      0.13504367080309207      0.14286402581155233      0.1506388181275752       0.15834959945098404      0.16594947335031476      0.17341193017903292      0.18068649154331531      0.18773722772840098      0.19460870069163508      0.20124602913516956      0.2076329248678568       0.2138290021161892       0.21980010163557032
-8                        -11.52                   2.533782777478331E-5     0.03152681322944071      0.043636605192381016     0.051461839973763794     0.057190180260191764     0.06166064841496998      0.06548079693145753      0.06906077821363774      0.07278943012343139      0.07679090455856157      0.08124713375392831      0.08629648296724506      0.0919082980701061       0.09797689800385         0.10439118685525638      0.11113167413311441      0.11802418046776982      0.12510830358209404      0.1322015981302623       0.13937299094955663      0.14650327724932508      0.15357558498810345      0.1605470236349138       0.16739333531809297      0.17406835574453985      0.18053921630895933      0.18684660057748478      0.19294032225155447      0.19880545510354275      0.20449636444074726      0.20998180949955417
-6.445749445770407        -11.805347711994749      5.460134499588356E-6     0.015650122649932135     0.024533382113275937     0.031134855452185892     0.03752681864907483      0.044859792106912426     0.05384159185455805      0.06470071435566503      0.0774605269728708       0.09169967407002144      0.10709238427131802      0.1231022952614672       0.13967262572039493      0.15657858142817435      0.17343183693939082      0.1902919695364108       0.20682828606579498      0.2231429252948184       0.2390067430920297       0.2545098939858496       0.2695565891367475       0.2841332707567898       0.2982074628884996       0.3117854862491654       0.3248280482974723       0.33731914721417616      0.3493449177961565       0.3608653103877159       0.3718866506975864       0.38248143740245993      0.39264041593465543
-6.567164179104411        -12                      2.3314897347157193E-5    0.027607306279012655     0.03591850863201939      0.041834154510648036     0.04719234783496191      0.05290290308479929      0.059617290381899314     0.06762977329481655      0.0770804267031742       0.08769401529211333      0.09928479274097796      0.11149221848925657      0.12426251290832084      0.13739861088306618      0.1505785166116515       0.16384587188722083      0.17691392593786281      0.1898694721576005       0.20250610354880982      0.21490455762362246      0.22697146086068495      0.23869359733205253      0.2500387971831293       0.2610065681327527       0.2715591745700756       0.28167837854411537      0.29143491879411093      0.30078960800756915      0.30974399181320156      0.3183611277226163       0.326628078530102
