% Model:              heat_case2.mph
% Version:            COMSOL 6.0.0.354
% Date:               Mar 29 2023, 20:21
% Dimension:          2
% Nodes:              12657
% Expressions:        51
% Description:        因变量 u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.1            u (K) @ t=0.2            u (K) @ t=0.3            u (K) @ t=0.4            u (K) @ t=0.5            u (K) @ t=0.6            u (K) @ t=0.7            u (K) @ t=0.8            u (K) @ t=0.9            u (K) @ t=1              u (K) @ t=1.1            u (K) @ t=1.2            u (K) @ t=1.3            u (K) @ t=1.4            u (K) @ t=1.5            u (K) @ t=1.6            u (K) @ t=1.7            u (K) @ t=1.8            u (K) @ t=1.9            u (K) @ t=2              u (K) @ t=2.1            u (K) @ t=2.2            u (K) @ t=2.3            u (K) @ t=2.4            u (K) @ t=2.5            u (K) @ t=2.6            u (K) @ t=2.7            u (K) @ t=2.8            u (K) @ t=2.9            u (K) @ t=3              u (K) @ t=3.1            u (K) @ t=3.2            u (K) @ t=3.3            u (K) @ t=3.4            u (K) @ t=3.5            u (K) @ t=3.6            u (K) @ t=3.7            u (K) @ t=3.8            u (K) @ t=3.9            u (K) @ t=4              u (K) @ t=4.1            u (K) @ t=4.2            u (K) @ t=4.3            u (K) @ t=4.4            u (K) @ t=4.5            u (K) @ t=4.6            u (K) @ t=4.7            u (K) @ t=4.8            u (K) @ t=4.9            u (K) @ t=5
0                         0.009999999999999993     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006501314371441283      0.006813937018012703     0.00848835017156106      0.007603533777095174     0.006921263930206147     0.006298429318032084     0.005721632501394945     0.005188288236676539     0.004697416264510038     0.004251081236272169     0.0038409020472662584    0.003465940071477317     0.003127361588083335     0.0028229578413970094    0.002542062064160224     0.002291500819680982     0.00206935303494836      0.001861316363591045     0.001675245473166141     0.0015104845608909924    0.0013590551820026994    0.0012252084449191716    0.001105078968713918     9.942542599934718E-4     8.956915924922945E-4     8.064733836399536E-4     7.271389779162718E-4     6.559905213928378E-4     5.906026017869853E-4     5.322924028703362E-4     4.7958260136447324E-4    4.331133579727175E-4     3.9054643929977583E-4    3.526902537960275E-4     3.1825001646614416E-4    2.8738358514005403E-4    2.594290353654887E-4     2.3424207028211277E-4    2.1169413798209166E-4    1.9136224202881503E-4    1.730949426240887E-4     1.5661606814898078E-4    1.417316215011138E-4     1.2835769569540168E-4    1.1627160692657237E-4    1.0531555206834428E-4    9.545118022941512E-5     8.6481564602204E-5       7.827196392848351E-5     7.090931489554799E-5     6.420909185413268E-5     5.8074796955644334E-5    5.25582079392069E-5
0.010000000000010112      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.019999999999999987     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.007372831669709298      0.01516511209908715      0.021278640799717558     0.019234795299579253     0.017510733456602836     0.01593658362847092      0.014478541089648274     0.013130117014225935     0.011888864126037324     0.010760011311243595     0.00972249628574847      0.008773962774706922     0.007917338540875889     0.00714705656026499      0.006436231944895413     0.005802070600302998     0.005239727106120252     0.004713127414137428     0.0042420829349280225    0.003824937895287419     0.0034415482894224504    0.0031026473310285917    0.0027984639023446753    0.002517843865295345     0.0022682627754496243    0.0020423408459107006    0.00184144230450383      0.0016612698347503129    0.0014956853707537151    0.0013480222374404299    0.0012145405584127493    0.0010968609145821549    9.890634621077252E-4     8.931948964970862E-4     8.059767569620649E-4     7.27808746939205E-4      6.570147204652909E-4     5.932292890682927E-4     5.361269104789331E-4     4.846364420761416E-4     4.383743892822178E-4     3.96641393754749E-4      3.5894619585620855E-4    3.2507630462424265E-4    2.9446781472907514E-4    2.6672111391851414E-4    2.417390725155958E-4     2.1902300743974307E-4    1.9823170492404212E-4    1.795852978559066E-4     1.626165053430672E-4     1.470809559544487E-4     1.3310975576346075E-4
0.02000000000001001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.015133740187487001      0.00890457299097637      0.022756298665542376     0.020472275028379037     0.018619059886914497     0.016930415965758453     0.015368937224891218     0.013927058896665621     0.012601815117257829     0.01139867612696151      0.010293843339585163     0.00928462657331307      0.008374368483245955     0.007556953375477051     0.006802846664583301     0.006130950020797806     0.005535976483009526     0.00497856474187114      0.004480331530155643     0.004039487215545226     0.0036342592728673302    0.003276248630346788     0.0029550082961591582    0.002658612593822974     0.0023950541675598785    0.0021564863815563442    0.001944359765354908     0.0017541268942628007    0.0015792867263360283    0.0014233707160432652    0.0012824283197101734    0.0011581714055879414    0.0010443473126589581    9.431178028817039E-4     8.510218007366343E-4     7.684812761036551E-4     6.93726927902567E-4      6.263730522699016E-4     5.660759558890873E-4     5.117048725077961E-4     4.6285489182656053E-4    4.187875787599978E-4     3.7898425746591606E-4    3.4322040830632656E-4    3.109006440987037E-4     2.816029848468821E-4     2.552247738051791E-4     2.312394443944688E-4     2.0928666971775986E-4    1.8959880216439656E-4    1.716824110354676E-4     1.5527941720912958E-4    1.405282751927382E-4
0                         0.029999999999999978     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.0077728470923500385     0.02487922489698475      0.036632864442948145     0.033181288799208515     0.030208286692745643     0.027493630060256787     0.024979056283139928     0.022653401580290725     0.020512463305647263     0.01856526499335126      0.01677555535275786      0.01513928040167224      0.013661477369988155     0.012332554970843781     0.011106193900909715     0.010012037785935847     0.009041736495603801     0.008133123493097959     0.007320339853399041     0.006600531177947087     0.005938971079718128     0.005354162617965973     0.0048292542449849055    0.00434500921688468      0.00391432008949947      0.0035244567411960802    0.0031777724629832786    0.0028668527422763975    0.0025811075051722526    0.002326287706871074     0.002095940195612166     0.0018928612816074598    0.001706835958111221     0.0015413959075425605    0.0013908837524621036    0.001255989228796055     0.0011338198792036844    0.0010237451701077306    9.252033167509027E-4     8.363458830675961E-4     7.565110816419946E-4     6.844920454749335E-4     6.194410214530763E-4     5.60991315029958E-4      5.081698093449097E-4     4.60286901911596E-4      4.1717497334985994E-4    3.7797345827180747E-4    3.4209353035029045E-4    3.099150593834673E-4     2.806316694517604E-4     2.538216516318027E-4     2.2971124666219228E-4
